Delta Time, Position, Velocity, 
50, 0.001136, 0.045455, 
50, 0.004545, 0.068182, 
50, 0.010227, 0.113636, 
50, 0.018182, 0.159091, 
50, 0.028409, 0.204545, 
50, 0.040909, 0.250000, 
50, 0.055682, 0.295455, 
50, 0.072727, 0.340909, 
50, 0.092045, 0.386364, 
50, 0.113636, 0.431818, 
50, 0.137500, 0.477273, 
50, 0.163636, 0.522727, 
50, 0.192045, 0.568182, 
50, 0.222727, 0.613636, 
50, 0.255682, 0.659091, 
50, 0.290909, 0.704545, 
50, 0.328409, 0.750000, 
50, 0.368182, 0.795455, 
50, 0.410227, 0.840909, 
50, 0.454545, 0.886364, 
50, 0.501136, 0.931818, 
50, 0.550000, 0.977273, 
50, 0.600000, 1.000000, 
50, 0.650000, 1.000000, 
50, 0.700000, 1.000000, 
50, 0.750000, 1.000000, 
50, 0.800000, 1.000000, 
50, 0.850000, 1.000000, 
50, 0.900000, 1.000000, 
50, 0.950000, 1.000000, 
50, 1.000000, 1.000000, 
50, 1.050000, 1.000000, 
50, 1.100000, 1.000000, 
50, 1.150000, 1.000000, 
50, 1.200000, 1.000000, 
50, 1.250000, 1.000000, 
50, 1.300000, 1.000000, 
50, 1.350000, 1.000000, 
50, 1.400000, 1.000000, 
50, 1.450000, 1.000000, 
50, 1.500000, 1.000000, 
50, 1.550000, 1.000000, 
50, 1.600000, 1.000000, 
50, 1.650000, 1.000000, 
50, 1.700000, 1.000000, 
50, 1.750000, 1.000000, 
50, 1.800000, 1.000000, 
50, 1.850000, 1.000000, 
50, 1.900000, 1.000000, 
50, 1.950000, 1.000000, 
50, 2.000000, 1.000000, 
50, 2.050000, 1.000000, 
50, 2.100000, 1.000000, 
50, 2.150000, 1.000000, 
50, 2.200000, 1.000000, 
50, 2.250000, 1.000000, 
50, 2.300000, 1.000000, 
50, 2.350000, 1.000000, 
50, 2.400000, 1.000000, 
50, 2.450000, 1.000000, 
50, 2.498864, 0.977286, 
50, 2.545457, 0.931845, 
50, 2.589776, 0.886391, 
50, 2.631823, 0.840936, 
50, 2.671597, 0.795482, 
50, 2.709098, 0.750027, 
50, 2.744327, 0.704573, 
50, 2.777283, 0.659118, 
50, 2.807966, 0.613664, 
50, 2.836377, 0.568209, 
50, 2.862514, 0.522755, 
50, 2.886379, 0.477300, 
50, 2.907972, 0.431845, 
50, 2.927291, 0.386391, 
50, 2.944338, 0.340936, 
50, 2.959112, 0.295482, 
50, 2.971613, 0.250027, 
50, 2.981842, 0.204573, 
50, 2.989798, 0.159118, 
50, 2.995481, 0.113664, 
50, 2.998892, 0.068209, 
50, 3.000029, 0.022755, 
50, 3.000030, 0.000014, 
50, 3.000030, 0.000000, 
